"","State","Year","treatment","VEP_Counted_D","VEP","Democrat","Type","Pop"
"1","Iowa",2008,0,0.107432704336093,2196724,236000,"Caucus",2894000
"2","New Hampshire",2008,0,0.291968912965203,988708,288672,"Primary",1275300
"3","Michigan",2008,0,0.0813784548994266,7304120,594398,"Primary",9764400
"4","Nevada",2008,0,0.0704225689600123,1669337,117559,"Caucus",2556800
"5","South Carolina",2008,0,0.164744317856405,3230163,532151,"Primary",4318400
"6","Florida",2008,0,0.139401045189193,12553134,1749920,"Primary",17874300
"7","Alabama",2008,0,0.158808784665603,3379070,536626,"Primary",4526900
"8","Arizona",2008,0,0.110789845861424,4121551,456626,"Primary",6363000
"9","Arkansas",2008,0,0.155610627317181,2029675,315839,"Primary",2769700
"10","California",2008,0,0.222958613104592,22726155,5066992,"Primary",35882000
"11","Colorado",2008,1,0.0351692299937106,3412102,120001,"Caucus",4816700
"12","Massachusetts",2008,0,0.273265709063412,4624671,1263764,"Primary",6265100
"13","Minnesota",2008,1,0.0574809619453723,3724120,214066,"Caucus",5084500
"14","Missouri",2008,0,0.192004799596372,4297028,825050,"Primary",5728200
"15","North Dakota",2008,0,0.0390631550317687,489003,19102,"Caucus",610300
"16","Oklahoma",2008,0,0.161452194002531,2584090,417207,"Primary",3508800
"17","Tennessee",2008,0,0.138138782199324,4522727,624764,"Primary",6045200
"18","Utah",2008,0,0.0758757121847029,1731819,131403,"Primary",2686800
"19","Maine",2008,1,0.0436247935708363,1023959,44670,"Caucus",1274100
"20","Virginia",2008,0,0.179702826147247,5487966,986203,"Primary",7418400
"21","Washington",2008,1,0.152763596808801,4525823,691381,"Primary",NA
"22","Texas",2008,0,0.192408185211214,14942119,2874986,"Primary",23643000
"23","Vermont",2008,0,0.321163459768475,483489,155279,"Primary",599100
"24","Mississippi",2008,0,0.206989810003848,2097253,434110,"Primary",2826800
"25","North Carolina",2008,0,0.243628345808157,6488268,1580726,"Primary",8886300
"26","Iowa",2016,0,0.0748443813022237,2286197,171109,"Caucus",3030400
"27","New Hampshire",2016,0,0.24598593847455,1035734,254776,"Primary",1291300
"28","Nevada",2016,0,0.0433868161927862,1936072,84000,"Caucus",2890400
"29","South Carolina",2016,0,0.101830093654218,3663583,373063,"Primary",4805300
"30","Alabama",2016,0,0.111011083369837,3602334,399899,"Primary",4730100
"31","Arkansas",2016,0,0.103419797250031,2137115,221020,"Primary",2895400
"32","Colorado",2016,1,0.0314366509790546,3928790,123508,"Caucus",5398100
"33","Massachusetts",2016,0,0.245693454582501,4966742,1220296,"Primary",6570600
"34","Minnesota",2016,1,0.0522071629349788,3967061,207109,"Caucus",5392900
"35","Oklahoma",2016,0,0.120726885540906,2781841,335843,"Primary",3800800
"36","Tennessee",2016,0,0.0773853483532571,4874592,377222,"Primary",6467700
"37","Texas",2016,0,0.0830031702477311,17299279,1435895,"Primary",27178300
"38","Vermont",2016,0,0.272934016462085,495563,135256,"Primary",599600
"39","Virginia",2016,0,0.130360245423141,6022089,785041,"Primary",8080900
"40","Maine",2016,1,0.0436304726602922,1054309,46000,"Caucus",1293800
"41","Michigan",2016,0,0.162480016022224,7419694,1205552,"Primary",9693500
"42","Mississippi",2016,0,0.10414829913821,2181159,227164,"Primary",2887300
"43","Florida",2016,0,0.118318768553256,14445578,1709183,"Primary",20144000
"44","Missouri",2016,0,0.139291315529214,4518767,629425,"Primary",5898000
"45","North Carolina",2016,0,0.157280560978288,7266734,1142916,"Primary",9829900
"46","Arizona",2016,0,0.100541639400838,4659373,468461,"Primary",6760900
"47","Utah",2016,0,0.0415620476767199,1963474,81606,"Caucus",2999300
"48","Washington",2016,1,0.045271268392683,5080485,230000,"Caucus",7124100
"49","California",2016,0,0.205887832171428,25126973,5173338,"Primary",38442400
"50","North Dakota",2016,0,0.00691098137663293,578789,4000,"Caucus",725900
"51","Iowa",2020,0,0.0764799913958275,2305858,176352,"Caucus",3132499
"52","New Hampshire",2020,0,0.279003705304876,1077914,300742,"Primary",1343622
"53","Nevada",2020,0,0.0493911053345389,2123520,104883,"Caucus",2922849
"54","South Carolina",2020,0,0.138380500893261,3896958,539263,"Primary",4955925
"55","Alabama",2020,0,0.123064011970685,3673641,452093,"Primary",4864680
"56","Arkansas",2020,0,0.104798064399471,2178962,228351,"Primary",2990671
"57","California",2020,0,0.221015522672419,25723148,5685215,"Primary",39148760
"58","Colorado",2020,1,0.226045296372585,4242194,958928,"Primary",5531141
"59","Maine",2020,1,0.190583409913924,1080561,205937,"Primary",1332813
"60","Massachusetts",2020,0,0.281212120250711,5043097,1418180,"Primary",6830193
"61","Minnesota",2020,1,0.18235261975162,4081093,744198,"Primary",5527358
"62","North Carolina",2020,0,0.17312736909892,7695964,1332382,"Primary",10155624
"63","Oklahoma",2020,0,0.107371024104059,2833921,304281,"Primary",3918137
"64","Tennessee",2020,0,0.101206898854984,5090236,515167,"Primary",6651089
"65","Texas",2020,0,0.10118779975715,18474747,1869419,"Primary",27885195
"66","Utah",2020,0,0.102328701414255,2155622,220582,"Primary",3045350
"67","Vermont",2020,0,0.315931308850283,500210,158032,"Primary",624977
"68","Virginia",2020,0,0.213907946347371,6187283,1323509,"Primary",8413774
"69","Michigan",2020,0,0.210974124961392,7527525,1588113,"Primary",9957488
"70","Mississippi",2020,0,0.12504409042479,2194354,274391,"Primary",2988762
"71","Missouri",2020,0,0.143816358273837,4589763,660083,"Primary",6090062
"72","North Dakota",2020,0,0.0255597686934088,563581,14405,"Primary",752201
"73","Washington",2020,1,0.288677137207645,5399721,1558776,"Primary",7294336
"74","Arizona",2020,0,0.0915926228529054,5114877,468485,"Primary",6946685
"75","Florida",2020,0,0.112931590105851,15395887,1738682,"Primary",20598139
